"STATEFP","COUNTYFP","TRACTCE","GEOID","rowID","CRA_NAME","NEIGHBORHOOD_DISTRICT_NAME","PUMA5CE"
"53","033","000200","53033000200",1,"Olympic Hills/Victory Heights","North",11602
"53","033","000900","53033000900",2,"Cedar Park/Meadowbrook","North",11602
"53","033","002000","53033002000",3,"Northgate/Maple Leaf","North",11602
"53","033","005000","53033005000",4,"Wallingford","Lake Union",11601
"53","033","005801","53033005801",5,"Interbay","Magnolia/Queen Anne",11603
"53","033","006800","53033006800",6,"Queen Anne","Magnolia/Queen Anne",11603
"53","033","007900","53033007900",7,"Central Area/Squire Park","Central",11604
"53","033","009000","53033009000",8,"Judkins Park","Central",11604
"53","033","009100","53033009100",9,"Pioneer Square/International District","Downtown",11603
"53","033","010702","53033010702",10,"High Point","Delridge Neighborhoods",11605
"53","033","012100","53033012100",11,"Arbor Heights","Southwest",11605
"53","033","022003","53033022003",12,NA,NA,11607
"53","033","023201","53033023201",13,NA,NA,11608
"53","033","025200","53033025200",14,NA,NA,11610
"53","033","026500","53033026500",15,"Highland Park","Delridge Neighborhoods",11611
"53","033","027100","53033027100",16,NA,NA,11611
"53","033","027900","53033027900",17,NA,NA,11611
"53","033","028200","53033028200",18,NA,NA,11611
"53","033","029502","53033029502",19,NA,NA,11613
"53","033","030006","53033030006",20,NA,NA,11612
"53","033","031705","53033031705",21,NA,NA,11615
"53","033","032212","53033032212",22,NA,NA,11609
"53","033","032324","53033032324",23,NA,NA,11607
"53","033","000100","53033000100",24,"Cedar Park/Meadowbrook","North",11602
"53","033","000700","53033000700",25,"Olympic Hills/Victory Heights","North",11602
"53","033","001300","53033001300",26,"Licton Springs","Northwest",11601
"53","033","002100","53033002100",27,"Wedgwood/View Ridge","Northeast",11602
"53","033","003000","53033003000",28,"Whittier Heights","Ballard",11601
"53","033","003300","53033003300",29,"Whittier Heights","Ballard",11601
"53","033","006100","53033006100",30,"Montlake/Portage Bay","Northeast",11603
"53","033","006900","53033006900",31,"Queen Anne","Magnolia/Queen Anne",11603
"53","033","007600","53033007600",32,"Miller Park","East",11604
"53","033","008200","53033008200",33,"First Hill","East",11603
"53","033","010300","53033010300",34,"Columbia City","Southeast",11604
"53","033","011401","53033011401",35,"Roxhill/Westwood","Delridge Neighborhoods",11605
"53","033","012000","53033012000",36,"Arbor Heights","Southwest",11605
"53","033","020600","53033020600",37,NA,NA,11606
"53","033","021100","53033021100",38,NA,NA,11606
"53","033","021804","53033021804",39,NA,NA,11606
"53","033","022005","53033022005",40,NA,NA,11607
"53","033","022603","53033022603",41,NA,NA,11607
"53","033","022801","53033022801",42,NA,NA,11608
"53","033","023202","53033023202",43,NA,NA,11608
"53","033","023603","53033023603",44,NA,NA,11608
"53","033","025400","53033025400",45,NA,NA,11610
"53","033","025805","53033025805",46,NA,NA,11610
"53","033","028500","53033028500",47,NA,NA,11611
"53","033","029204","53033029204",48,NA,NA,11613
"53","033","029305","53033029305",49,NA,NA,11613
"53","033","030004","53033030004",50,NA,NA,11612
"53","033","030005","53033030005",51,NA,NA,11612
"53","033","030310","53033030310",52,NA,NA,11612
"53","033","030504","53033030504",53,NA,NA,11614
"53","033","030901","53033030901",54,NA,NA,11614
"53","033","031604","53033031604",55,NA,NA,11615
"53","033","031909","53033031909",56,NA,NA,11610
"53","033","032318","53033032318",57,NA,NA,11609
"53","033","032702","53033032702",58,NA,NA,11616
"53","033","000402","53033000402",59,"Broadview/Bitter Lake","Northwest",11601
"53","033","004302","53033004302",60,"Ravenna/Bryant","Northeast",11602
"53","033","007000","53033007000",61,"Queen Anne","Magnolia/Queen Anne",11603
"53","033","022701","53033022701",62,NA,NA,11607
"53","033","026600","53033026600",63,NA,NA,11611
"53","033","028403","53033028403",64,NA,NA,11611
"53","033","029403","53033029403",65,NA,NA,11613
"53","033","032203","53033032203",66,NA,NA,11609
"53","033","031000","53033031000",67,NA,NA,11614
"53","033","004000","53033004000",68,"Laurelhurst/Sand Point","Northeast",11602
"53","033","022606","53033022606",69,NA,NA,11607
"53","033","031502","53033031502",70,NA,NA,11615
"53","033","005200","53033005200",71,"Wallingford","Lake Union",11602
"53","033","007402","53033007402",72,"Capitol Hill","East",11603
"53","033","022203","53033022203",73,NA,NA,11607
"53","033","027300","53033027300",74,NA,NA,11611
"53","033","029601","53033029601",75,NA,NA,11613
"53","033","030308","53033030308",76,NA,NA,11612
"53","033","000800","53033000800",77,"Cedar Park/Meadowbrook","North",11602
"53","033","002800","53033002800",78,"Greenwood/Phinney Ridge","Northwest",11601
"53","033","008700","53033008700",79,"Central Area/Squire Park","Central",11604
"53","033","021600","53033021600",80,NA,NA,11606
"53","033","023500","53033023500",81,NA,NA,11608
"53","033","028700","53033028700",82,NA,NA,11611
"53","033","031100","53033031100",83,NA,NA,11614
"53","033","032211","53033032211",84,NA,NA,11609
"53","033","032800","53033032800",85,NA,NA,11616
"53","033","025101","53033025101",86,NA,NA,11610
"53","033","031205","53033031205",87,NA,NA,11614
"53","033","000600","53033000600",88,"Haller Lake","Northwest",11601
"53","033","001400","53033001400",89,"North Beach/Blue Ridge","Ballard",11601
"53","033","001600","53033001600",90,"North Beach/Blue Ridge","Ballard",11601
"53","033","002400","53033002400",91,"Wedgwood/View Ridge","Northeast",11602
"53","033","002900","53033002900",92,"Greenwood/Phinney Ridge","Northwest",11601
"53","033","003400","53033003400",93,"Greenwood/Phinney Ridge","Northwest",11601
"53","033","003600","53033003600",94,"Green Lake","Northwest",11601
"53","033","004200","53033004200",95,"Ravenna/Bryant","Northeast",11602
"53","033","004301","53033004301",96,"Ravenna/Bryant","Northeast",11602
"53","033","004500","53033004500",97,"Wallingford","Lake Union",11602
"53","033","004700","53033004700",98,"Ballard","Ballard",11601
"53","033","004800","53033004800",99,"Fremont","Lake Union",11601
"53","033","005100","53033005100",100,"Wallingford","Lake Union",11601
"53","033","005400","53033005400",101,"Fremont","Lake Union",11601
"53","033","005600","53033005600",102,"Magnolia","Magnolia/Queen Anne",11603
"53","033","005700","53033005700",103,"Magnolia","Magnolia/Queen Anne",11603
"53","033","005802","53033005802",104,"Interbay","Magnolia/Queen Anne",11603
"53","033","006300","53033006300",105,"Madison Park","East",11604
"53","033","006500","53033006500",106,"North Capitol Hill","East",11604
"53","033","007300","53033007300",107,"Cascade/Eastlake","Lake Union",11603
"53","033","007700","53033007700",108,"Central Area/Squire Park","Central",11604
"53","033","008100","53033008100",109,"Downtown Commercial Core","Downtown",11603
"53","033","008600","53033008600",110,"First Hill","East",11604
"53","033","009300","53033009300",111,"Duwamish/SODO","Greater Duwamish",11605
"53","033","009702","53033009702",112,"West Seattle Junction/Genesee Hill","Southwest",11605
"53","033","010001","53033010001",113,"North Beacon Hill/Jefferson Park","Greater Duwamish",11605
"53","033","010100","53033010100",114,"Columbia City","Southeast",11604
"53","033","010900","53033010900",115,"Georgetown","Greater Duwamish",11605
"53","033","011101","53033011101",116,"Columbia City","Southeast",11604
"53","033","011200","53033011200",117,"South Park","Greater Duwamish",11605
"53","033","011900","53033011900",118,"Rainier Beach","Southeast",11604
"53","033","020700","53033020700",119,NA,NA,11606
"53","033","020900","53033020900",120,NA,NA,11606
"53","033","021300","53033021300",121,NA,NA,11606
"53","033","021903","53033021903",122,NA,NA,11607
"53","033","021905","53033021905",123,NA,NA,11606
"53","033","022006","53033022006",124,NA,NA,11607
"53","033","022500","53033022500",125,NA,NA,11607
"53","033","022703","53033022703",126,NA,NA,11607
"53","033","022803","53033022803",127,NA,NA,11607
"53","033","023404","53033023404",128,NA,NA,11609
"53","033","023601","53033023601",129,NA,NA,11608
"53","033","023700","53033023700",130,NA,NA,11608
"53","033","024500","53033024500",131,NA,NA,11609
"53","033","024602","53033024602",132,NA,NA,11609
"53","033","024800","53033024800",133,NA,NA,11608
"53","033","025003","53033025003",134,NA,NA,11608
"53","033","025302","53033025302",135,NA,NA,11610
"53","033","025701","53033025701",136,NA,NA,11610
"53","033","026001","53033026001",137,"Rainier Beach","Southeast",11610
"53","033","026100","53033026100",138,NA,NA,11610
"53","033","026200","53033026200",139,NA,NA,11611
"53","033","026300","53033026300",140,NA,NA,11611
"53","033","026700","53033026700",141,NA,NA,11611
"53","033","026801","53033026801",142,NA,NA,11611
"53","033","026802","53033026802",143,NA,NA,11611
"53","033","027400","53033027400",144,NA,NA,11611
"53","033","027500","53033027500",145,NA,NA,11611
"53","033","027701","53033027701",146,NA,NA,11612
"53","033","027702","53033027702",147,NA,NA,11612
"53","033","028600","53033028600",148,NA,NA,11611
"53","033","028802","53033028802",149,NA,NA,11611
"53","033","028902","53033028902",150,NA,NA,11612
"53","033","029205","53033029205",151,NA,NA,11613
"53","033","029306","53033029306",152,NA,NA,11613
"53","033","029407","53033029407",153,NA,NA,11613
"53","033","029700","53033029700",154,NA,NA,11613
"53","033","030003","53033030003",155,NA,NA,11612
"53","033","030201","53033030201",156,NA,NA,11612
"53","033","030311","53033030311",157,NA,NA,11612
"53","033","030313","53033030313",158,NA,NA,11612
"53","033","030403","53033030403",159,NA,NA,11614
"53","033","030600","53033030600",160,NA,NA,11614
"53","033","031302","53033031302",161,NA,NA,11615
"53","033","031603","53033031603",162,NA,NA,11615
"53","033","031906","53033031906",163,NA,NA,11615
"53","033","031908","53033031908",164,NA,NA,11610
"53","033","032006","53033032006",165,NA,NA,11615
"53","033","032010","53033032010",166,NA,NA,11615
"53","033","032102","53033032102",167,NA,NA,11615
"53","033","032214","53033032214",168,NA,NA,11609
"53","033","032309","53033032309",169,NA,NA,11607
"53","033","032317","53033032317",170,NA,NA,11609
"53","033","032322","53033032322",171,NA,NA,11616
"53","033","032329","53033032329",172,NA,NA,11616
"53","033","032500","53033032500",173,NA,NA,11616
"53","033","032602","53033032602",174,NA,NA,11616
"53","033","030802","53033030802",175,NA,NA,11614
"53","033","032213","53033032213",176,NA,NA,11609
"53","033","022102","53033022102",177,NA,NA,11606
"53","033","022202","53033022202",178,NA,NA,11607
"53","033","022300","53033022300",179,NA,NA,11607
"53","033","022605","53033022605",180,NA,NA,11607
"53","033","000300","53033000300",181,"Haller Lake","Northwest",11601
"53","033","000401","53033000401",182,"Broadview/Bitter Lake","Northwest",11601
"53","033","000500","53033000500",183,"Broadview/Bitter Lake","Northwest",11601
"53","033","001000","53033001000",184,"Cedar Park/Meadowbrook","North",11602
"53","033","001200","53033001200",185,"Northgate/Maple Leaf","North",11602
"53","033","001500","53033001500",186,"North Beach/Blue Ridge","Ballard",11601
"53","033","001701","53033001701",187,"Greenwood/Phinney Ridge","Northwest",11601
"53","033","001900","53033001900",188,"Northgate/Maple Leaf","North",11602
"53","033","002200","53033002200",189,"Wedgwood/View Ridge","Northeast",11602
"53","033","002500","53033002500",190,"Ravenna/Bryant","Northeast",11602
"53","033","003200","53033003200",191,"Sunset Hill/Loyal Heights","Ballard",11601
"53","033","003500","53033003500",192,"Greenwood/Phinney Ridge","Northwest",11601
"53","033","004100","53033004100",193,"Laurelhurst/Sand Point","Northeast",11602
"53","033","006200","53033006200",194,"Montlake/Portage Bay","Northeast",11604
"53","033","006400","53033006400",195,"Miller Park","East",11604
"53","033","006600","53033006600",196,"Cascade/Eastlake","Lake Union",11603
"53","033","007200","53033007200",197,"Cascade/Eastlake","Lake Union",11603
"53","033","007401","53033007401",198,"Capitol Hill","East",11603
"53","033","007500","53033007500",199,"Capitol Hill","East",11604
"53","033","008001","53033008001",200,"Belltown","Downtown",11603
"53","033","008002","53033008002",201,"Belltown","Downtown",11603
"53","033","008400","53033008400",202,"Capitol Hill","East",11603
"53","033","008500","53033008500",203,"First Hill","East",11603
"53","033","009200","53033009200",204,"Pioneer Square/International District","Downtown",11603
"53","033","009500","53033009500",205,"Mt. Baker/North Rainier","Southeast",11604
"53","033","009701","53033009701",206,"Alki/Admiral","Southwest",11605
"53","033","009900","53033009900",207,"North Delridge","Delridge Neighborhoods",11605
"53","033","010402","53033010402",208,"Beacon Hill","Greater Duwamish",11605
"53","033","010600","53033010600",209,"Fauntleroy/Seaview","Southwest",11605
"53","033","010800","53033010800",210,"Riverview","Delridge Neighborhoods",11605
"53","033","011002","53033011002",211,"South Beacon Hill/NewHolly","Greater Duwamish",11605
"53","033","011102","53033011102",212,"Seward Park","Southeast",11604
"53","033","011300","53033011300",213,"Highland Park","Delridge Neighborhoods",11605
"53","033","011500","53033011500",214,"Roxhill/Westwood","Delridge Neighborhoods",11605
"53","033","011800","53033011800",215,"Rainier Beach","Southeast",11604
"53","033","020100","53033020100",216,NA,NA,11606
"53","033","020200","53033020200",217,NA,NA,11606
"53","033","020401","53033020401",218,NA,NA,11606
"53","033","020800","53033020800",219,NA,NA,11606
"53","033","021000","53033021000",220,NA,NA,11606
"53","033","021400","53033021400",221,NA,NA,11606
"53","033","021700","53033021700",222,NA,NA,11606
"53","033","021904","53033021904",223,NA,NA,11607
"53","033","021906","53033021906",224,NA,NA,11616
"53","033","022101","53033022101",225,NA,NA,11606
"53","033","022802","53033022802",226,NA,NA,11607
"53","033","023000","53033023000",227,NA,NA,11608
"53","033","023100","53033023100",228,NA,NA,11608
"53","033","023401","53033023401",229,NA,NA,11608
"53","033","023403","53033023403",230,NA,NA,11608
"53","033","023604","53033023604",231,NA,NA,11608
"53","033","023801","53033023801",232,NA,NA,11608
"53","033","024100","53033024100",233,NA,NA,11608
"53","033","024400","53033024400",234,NA,NA,11609
"53","033","024601","53033024601",235,NA,NA,11609
"53","033","024702","53033024702",236,NA,NA,11609
"53","033","024903","53033024903",237,NA,NA,11608
"53","033","025005","53033025005",238,NA,NA,11609
"53","033","025102","53033025102",239,NA,NA,11610
"53","033","025301","53033025301",240,NA,NA,11610
"53","033","025500","53033025500",241,NA,NA,11610
"53","033","025702","53033025702",242,NA,NA,11610
"53","033","025803","53033025803",243,NA,NA,11610
"53","033","028100","53033028100",244,NA,NA,11611
"53","033","028300","53033028300",245,NA,NA,11611
"53","033","028402","53033028402",246,NA,NA,11611
"53","033","028801","53033028801",247,NA,NA,11611
"53","033","028901","53033028901",248,NA,NA,11612
"53","033","029001","53033029001",249,NA,NA,11612
"53","033","029003","53033029003",250,NA,NA,11612
"53","033","029101","53033029101",251,NA,NA,11613
"53","033","029304","53033029304",252,NA,NA,11610
"53","033","029307","53033029307",253,NA,NA,11613
"53","033","029405","53033029405",254,NA,NA,11613
"53","033","029503","53033029503",255,NA,NA,11613
"53","033","029504","53033029504",256,NA,NA,11613
"53","033","029602","53033029602",257,NA,NA,11614
"53","033","029801","53033029801",258,NA,NA,11613
"53","033","029802","53033029802",259,NA,NA,11614
"53","033","030100","53033030100",260,NA,NA,11612
"53","033","030202","53033030202",261,NA,NA,11612
"53","033","030304","53033030304",262,NA,NA,11612
"53","033","030309","53033030309",263,NA,NA,11612
"53","033","030312","53033030312",264,NA,NA,11612
"53","033","030314","53033030314",265,NA,NA,11612
"53","033","030401","53033030401",266,NA,NA,11614
"53","033","030503","53033030503",267,NA,NA,11614
"53","033","030700","53033030700",268,NA,NA,11614
"53","033","030801","53033030801",269,NA,NA,11614
"53","033","031204","53033031204",270,NA,NA,11615
"53","033","031206","53033031206",271,NA,NA,11614
"53","033","031301","53033031301",272,NA,NA,11615
"53","033","031601","53033031601",273,NA,NA,11615
"53","033","032011","53033032011",274,NA,NA,11615
"53","033","032103","53033032103",275,NA,NA,11609
"53","033","032104","53033032104",276,NA,NA,11609
"53","033","032207","53033032207",277,NA,NA,11609
"53","033","031706","53033031706",278,NA,NA,11615
"53","033","031903","53033031903",279,NA,NA,11615
"53","033","031904","53033031904",280,NA,NA,11615
"53","033","031907","53033031907",281,NA,NA,11610
"53","033","032007","53033032007",282,NA,NA,11615
"53","033","032210","53033032210",283,NA,NA,11609
"53","033","032215","53033032215",284,NA,NA,11609
"53","033","032307","53033032307",285,NA,NA,11616
"53","033","032311","53033032311",286,NA,NA,11616
"53","033","032315","53033032315",287,NA,NA,11616
"53","033","032320","53033032320",288,NA,NA,11616
"53","033","032321","53033032321",289,NA,NA,11616
"53","033","032323","53033032323",290,NA,NA,11607
"53","033","032325","53033032325",291,NA,NA,11607
"53","033","032328","53033032328",292,NA,NA,11616
"53","033","032401","53033032401",293,NA,NA,11616
"53","033","032402","53033032402",294,NA,NA,11616
"53","033","032601","53033032601",295,NA,NA,11616
"53","033","032703","53033032703",296,NA,NA,11616
"53","033","022702","53033022702",297,NA,NA,11607
"53","033","001800","53033001800",298,"Licton Springs","Northwest",11601
"53","033","003100","53033003100",299,"Sunset Hill/Loyal Heights","Ballard",11601
"53","033","004900","53033004900",300,"Fremont","Lake Union",11601
"53","033","005302","53033005302",301,"University District","Northeast",11602
"53","033","005900","53033005900",302,"Queen Anne","Magnolia/Queen Anne",11603
"53","033","008300","53033008300",303,"First Hill","East",11603
"53","033","009600","53033009600",304,"Alki/Admiral","Southwest",11605
"53","033","010500","53033010500",305,"West Seattle Junction/Genesee Hill","Southwest",11605
"53","033","020402","53033020402",306,NA,NA,11606
"53","033","021802","53033021802",307,NA,NA,11606
"53","033","022201","53033022201",308,NA,NA,11607
"53","033","023300","53033023300",309,NA,NA,11608
"53","033","024000","53033024000",310,NA,NA,11608
"53","033","024902","53033024902",311,NA,NA,11608
"53","033","025601","53033025601",312,NA,NA,11610
"53","033","026002","53033026002",313,NA,NA,11610
"53","033","027000","53033027000",314,NA,NA,11611
"53","033","027600","53033027600",315,NA,NA,11611
"53","033","029004","53033029004",316,NA,NA,11613
"53","033","029901","53033029901",317,NA,NA,11614
"53","033","030305","53033030305",318,NA,NA,11612
"53","033","030501","53033030501",319,NA,NA,11614
"53","033","031605","53033031605",320,NA,NA,11615
"53","033","032003","53033032003",321,NA,NA,11615
"53","033","032313","53033032313",322,NA,NA,11607
"53","033","032327","53033032327",323,NA,NA,11616
"53","033","025602","53033025602",324,NA,NA,11610
"53","033","005301","53033005301",325,"University District","Northeast",11602
"53","033","020300","53033020300",326,NA,NA,11606
"53","033","025804","53033025804",327,NA,NA,11610
"53","033","027200","53033027200",328,NA,NA,11611
"53","033","031400","53033031400",329,NA,NA,11615
"53","033","031704","53033031704",330,NA,NA,11613
"53","033","032002","53033032002",331,NA,NA,11615
"53","033","031202","53033031202",332,NA,NA,11614
"53","033","009400","53033009400",333,"North Beacon Hill/Jefferson Park","Greater Duwamish",11605
"53","033","010200","53033010200",334,"Seward Park","Southeast",11604
"53","033","023900","53033023900",335,NA,NA,11608
"53","033","024701","53033024701",336,NA,NA,11608
"53","033","029206","53033029206",337,NA,NA,11613
"53","033","001100","53033001100",338,"Olympic Hills/Victory Heights","North",11602
"53","033","002600","53033002600",339,"Ravenna/Bryant","Northeast",11602
"53","033","004600","53033004600",340,"Green Lake","Northwest",11601
"53","033","006000","53033006000",341,"Queen Anne","Magnolia/Queen Anne",11603
"53","033","008800","53033008800",342,"Central Area/Squire Park","Central",11604
"53","033","010401","53033010401",343,"Beacon Hill","Greater Duwamish",11605
"53","033","011600","53033011600",344,"Fauntleroy/Seaview","Southwest",11605
"53","033","021500","53033021500",345,NA,NA,11606
"53","033","022902","53033022902",346,NA,NA,11607
"53","033","024200","53033024200",347,NA,NA,11608
"53","033","025006","53033025006",348,NA,NA,11609
"53","033","025806","53033025806",349,NA,NA,11610
"53","033","026400","53033026400",350,"South Park","Greater Duwamish",11611
"53","033","028000","53033028000",351,NA,NA,11611
"53","033","029102","53033029102",352,NA,NA,11613
"53","033","030902","53033030902",353,NA,NA,11614
"53","033","031800","53033031800",354,NA,NA,11615
"53","033","032208","53033032208",355,NA,NA,11609
"53","033","032319","53033032319",356,NA,NA,11616
"53","033","011001","53033011001",357,"South Beacon Hill/NewHolly","Greater Duwamish",11605
"53","033","011700","53033011700",358,"South Beacon Hill/NewHolly","Greater Duwamish",11605
"53","033","020500","53033020500",359,NA,NA,11606
"53","033","022001","53033022001",360,NA,NA,11606
"53","033","022400","53033022400",361,NA,NA,11607
"53","033","022901","53033022901",362,NA,NA,11608
"53","033","024300","53033024300",363,NA,NA,11609
"53","033","025001","53033025001",364,NA,NA,11609
"53","033","027800","53033027800",365,NA,NA,11611
"53","033","029203","53033029203",366,NA,NA,11613
"53","033","029406","53033029406",367,NA,NA,11613
"53","033","029902","53033029902",368,NA,NA,11614
"53","033","030306","53033030306",369,NA,NA,11612
"53","033","030404","53033030404",370,NA,NA,11614
"53","033","031703","53033031703",371,NA,NA,11613
"53","033","032704","53033032704",372,NA,NA,11616
"53","033","032005","53033032005",373,NA,NA,11615
"53","033","032008","53033032008",374,NA,NA,11615
"53","033","032316","53033032316",375,NA,NA,11609
"53","033","032326","53033032326",376,NA,NA,11616
"53","033","001702","53033001702",377,"Greenwood/Phinney Ridge","Northwest",11601
"53","033","003900","53033003900",378,"Wedgwood/View Ridge","Northeast",11602
"53","033","006700","53033006700",379,"Queen Anne","Magnolia/Queen Anne",11603
"53","033","007800","53033007800",380,"Madrona/Leschi","Central",11604
"53","033","009800","53033009800",381,"West Seattle Junction/Genesee Hill","Southwest",11605
"53","033","010701","53033010701",382,"High Point","Delridge Neighborhoods",11605
"53","033","010002","53033010002",383,"North Beacon Hill/Jefferson Park","Greater Duwamish",11605
"53","033","024901","53033024901",384,NA,NA,11608
"53","033","029408","53033029408",385,NA,NA,11613
"53","033","011402","53033011402",386,"Roxhill/Westwood","Delridge Neighborhoods",11605
"53","033","004400","53033004400",387,"University District","Northeast",11602
"53","033","023803","53033023803",388,NA,NA,11608
"53","033","029303","53033029303",389,NA,NA,11610
"53","033","002700","53033002700",390,"Green Lake","Northwest",11601
"53","033","003800","53033003800",391,"Ravenna/Bryant","Northeast",11602
"53","033","021803","53033021803",392,NA,NA,11606
"53","033","022604","53033022604",393,NA,NA,11607
"53","033","031501","53033031501",394,NA,NA,11615
"53","033","008900","53033008900",395,"Madrona/Leschi","Central",11604
"53","033","023804","53033023804",396,NA,NA,11608
"53","033","007100","53033007100",397,"Queen Anne","Magnolia/Queen Anne",11603
