samplingLocation,CRA_NAME,n,positive,fitted.values.mean,fitted.values.sd,fitted.values.0.025quant,fitted.values.0.5quant,fitted.values.0.975quant,fitted.values.mode
shelter,Madrona/Leschi,12,12,11.53158334,3.16224358,6.560041104,11.12099016,18.85607538,10.34323386
atHome,Olympic Hills/Victory Heights,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Cedar Park/Meadowbrook,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Northgate/Maple Leaf,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Wallingford,2,2,0.65760414,0.112160454,0.465132935,0.648242393,0.903529603,0.629924659
atHome,Interbay,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Queen Anne,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Central Area/Squire Park,2,2,0.65760414,0.112160454,0.465132935,0.648242393,0.903529603,0.629924659
atHome,Judkins Park,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Pioneer Square/International District,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,High Point,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Arbor Heights,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,NA,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Highland Park,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Licton Springs,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Wedgwood/View Ridge,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Whittier Heights,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Montlake/Portage Bay,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Miller Park,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,First Hill,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Columbia City,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Roxhill/Westwood,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Broadview/Bitter Lake,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Ravenna/Bryant,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Laurelhurst/Sand Point,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Capitol Hill,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Greenwood/Phinney Ridge,2,2,0.65760414,0.112160454,0.465132935,0.648242393,0.903529603,0.629924659
atHome,Haller Lake,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,North Beach/Blue Ridge,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Green Lake,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Ballard,2,2,0.65760414,0.112160454,0.465132935,0.648242393,0.903529603,0.629924659
atHome,Fremont,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Magnolia,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Madison Park,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,North Capitol Hill,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Cascade/Eastlake,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Downtown Commercial Core,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Duwamish/SODO,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,West Seattle Junction/Genesee Hill,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,North Beacon Hill/Jefferson Park,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Georgetown,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,South Park,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Rainier Beach,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Sunset Hill/Loyal Heights,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Belltown,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Mt. Baker/North Rainier,3,3,0.657675169,0.112172568,0.465183176,0.648312411,0.903627193,0.629992698
atHome,Alki/Admiral,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,North Delridge,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Beacon Hill,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Fauntleroy/Seaview,2,2,0.65760414,0.112160454,0.465132935,0.648242393,0.903529603,0.629924659
atHome,Riverview,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,South Beacon Hill/NewHolly,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Seward Park,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,University District,2,2,0.65760414,0.112160454,0.465132935,0.648242393,0.903529603,0.629924659
atHome,Madrona/Leschi,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
clinic,Olympic Hills/Victory Heights,21,21,18.54396426,4.091743708,11.81032862,18.10835889,27.76857904,17.26790541
clinic,Cedar Park/Meadowbrook,30,30,26.47167553,4.963078601,18.07361416,26.01831369,37.45952456,25.13502576
clinic,Northgate/Maple Leaf,58,58,52.41472331,7.108479851,39.86262503,51.93921911,67.68002496,51.00155142
clinic,Wallingford,21,21,18.54396426,4.091743708,11.81032862,18.10835889,27.76857904,17.26790541
clinic,Interbay,11,11,10.31249244,2.934209918,5.740209512,9.918779857,17.14203112,9.176144228
clinic,Queen Anne,6,6,6.639749949,2.247838915,3.297267904,6.289092501,11.99799093,5.642412812
clinic,Central Area/Squire Park,16,16,14.32241406,3.543686952,8.621781693,13.90314888,22.42299165,13.10127113
clinic,Judkins Park,6,6,6.639749949,2.247838915,3.297267904,6.289092501,11.99799093,5.642412812
clinic,Pioneer Square/International District,43,43,38.35496274,6.040499344,27.87714062,37.88794931,51.49857571,36.9712223
clinic,High Point,9,9,8.793010536,2.669697178,4.700958111,8.413729634,15.06152582,7.703680822
clinic,Arbor Heights,3,3,4.688499735,1.795730327,2.119946918,4.378312876,9.044531862,3.818347867
clinic,NA,0,0,3.016728453,1.322285806,1.214701059,2.762933258,6.286108111,2.317633995
clinic,Highland Park,1,1,3.537314834,1.481153244,1.483888012,3.262793454,7.176025159,2.776192083
clinic,Licton Springs,3,3,4.688499735,1.795730327,2.119946918,4.378312876,9.044531862,3.818347867
clinic,Wedgwood/View Ridge,5,5,5.963525504,2.100350736,2.877312571,5.624824491,10.9981849,5.004278817
clinic,Whittier Heights,0,0,3.016728453,1.322285806,1.214701059,2.762933258,6.286108111,2.317633995
clinic,Montlake/Portage Bay,3,3,4.688499735,1.795730327,2.119946918,4.378312876,9.044531862,3.818347867
clinic,Miller Park,4,4,5.312146815,1.949558001,2.48427846,4.986879936,10.01270037,4.395006409
clinic,First Hill,13,13,11.88475019,3.18635654,6.848886199,11.47931534,19.24338402,10.70970689
clinic,Columbia City,24,24,21.14805011,4.396692985,13.83439413,20.70529011,30.99250638,19.84762163
clinic,Roxhill/Westwood,4,4,5.312146815,1.949558001,2.48427846,4.986879936,10.01270037,4.395006409
clinic,Broadview/Bitter Lake,1,1,3.537314834,1.481153244,1.483888012,3.262793454,7.176025159,2.776192083
clinic,Ravenna/Bryant,12,12,11.09265703,3.061763924,6.286501178,10.6927882,18.19048708,9.93587864
clinic,Laurelhurst/Sand Point,2,2,4.095753616,1.639343093,1.785997529,3.802445125,8.097419434,3.27744762
clinic,Capitol Hill,4,4,5.312146815,1.949558001,2.48427846,4.986879936,10.01270037,4.395006409
clinic,Greenwood/Phinney Ridge,13,13,11.88475019,3.18635654,6.848886199,11.47931534,19.24338402,10.70970689
clinic,Haller Lake,2,2,4.095753616,1.639343093,1.785997529,3.802445125,8.097419434,3.27744762
clinic,North Beach/Blue Ridge,0,0,3.016728453,1.322285806,1.214701059,2.762933258,6.286108111,2.317633995
clinic,Green Lake,5,5,5.963525504,2.100350736,2.877312571,5.624824491,10.9981849,5.004278817
clinic,Ballard,0,0,3.016728453,1.322285806,1.214701059,2.762933258,6.286108111,2.317633995
clinic,Fremont,11,11,10.31249244,2.934209918,5.740209512,9.918779857,17.14203112,9.176144228
clinic,Magnolia,1,1,3.537314834,1.481153244,1.483888012,3.262793454,7.176025159,2.776192083
clinic,Madison Park,3,3,4.688499735,1.795730327,2.119946918,4.378312876,9.044531862,3.818347867
clinic,North Capitol Hill,2,2,4.095753616,1.639343093,1.785997529,3.802445125,8.097419434,3.27744762
clinic,Cascade/Eastlake,22,22,19.40691356,4.195201023,12.47685676,18.96874756,28.84220349,18.12207488
clinic,Downtown Commercial Core,25,25,22.02556503,4.494886426,14.52451042,21.58073843,32.06891938,20.71817442
clinic,Duwamish/SODO,6,6,6.639749949,2.247838915,3.297267904,6.289092501,11.99799093,5.642412812
clinic,West Seattle Junction/Genesee Hill,2,2,4.095753616,1.639343093,1.785997529,3.802445125,8.097419434,3.27744762
clinic,North Beacon Hill/Jefferson Park,12,12,11.09265703,3.061763924,6.286501178,10.6927882,18.19048708,9.93587864
clinic,Georgetown,4,4,5.312146815,1.949558001,2.48427846,4.986879936,10.01270037,4.395006409
clinic,South Park,4,4,5.312146815,1.949558001,2.48427846,4.986879936,10.01270037,4.395006409
clinic,Rainier Beach,20,20,17.68660158,3.986364774,11.15262066,17.25375849,26.69618203,16.41994202
clinic,Sunset Hill/Loyal Heights,0,0,3.016728453,1.322285806,1.214701059,2.762933258,6.286108111,2.317633995
clinic,Belltown,14,14,12.68769217,3.308120818,7.426234525,12.27720932,20.30010283,11.49597944
clinic,Mt. Baker/North Rainier,22,22,19.40691356,4.195201023,12.47685676,18.96874756,28.84220349,18.12207488
clinic,Alki/Admiral,2,2,4.095753616,1.639343093,1.785997529,3.802445125,8.097419434,3.27744762
clinic,North Delridge,4,4,5.312146815,1.949558001,2.48427846,4.986879936,10.01270037,4.395006409
clinic,Beacon Hill,2,2,4.095753616,1.639343093,1.785997529,3.802445125,8.097419434,3.27744762
clinic,Fauntleroy/Seaview,2,2,4.095753616,1.639343093,1.785997529,3.802445125,8.097419434,3.27744762
clinic,Riverview,2,2,4.095753616,1.639343093,1.785997529,3.802445125,8.097419434,3.27744762
clinic,South Beacon Hill/NewHolly,6,6,6.639749949,2.247838915,3.297267904,6.289092501,11.99799093,5.642412812
clinic,Seward Park,17,17,15.15259787,3.657740307,9.238177547,14.7294982,23.4883391,13.9185594
clinic,University District,2,2,4.095753616,1.639343093,1.785997529,3.802445125,8.097419434,3.27744762
clinic,Madrona/Leschi,6,6,6.639749949,2.247838915,3.297267904,6.289092501,11.99799093,5.642412812
hospital,Olympic Hills/Victory Heights,340,340,336.5403139,18.29510433,302.1003145,336.0440704,373.8140406,335.0542559
hospital,Cedar Park/Meadowbrook,485,485,480.5164171,21.87872294,439.052978,480.01903,524.8219301,479.0264169
hospital,Northgate/Maple Leaf,519,519,514.3209646,22.63804354,471.3692473,513.823401,560.116164,512.8303361
hospital,Wallingford,396,396,392.1010103,19.75520176,354.7995256,391.6042275,432.2400252,390.6131169
hospital,Interbay,141,141,140.0608979,11.75792395,118.4270204,139.56992,164.495847,138.5935362
hospital,Queen Anne,197,197,195.1077555,13.90284417,169.2736385,194.6142476,223.758059,193.6314712
hospital,Central Area/Squire Park,495,495,490.4575467,22.1047251,448.5511428,489.9601054,535.2064529,488.9673542
hospital,Judkins Park,139,139,138.1014125,11.67431336,116.6312052,137.6105611,162.3719489,136.6344859
hospital,Pioneer Square/International District,294,294,290.9587395,17.00388947,259.0490458,290.4630905,325.6981538,289.4746644
hospital,High Point,51,51,52.86339415,7.146935078,40.23906266,52.38677048,68.20730019,51.44681527
hospital,Arbor Heights,44,44,46.24804703,6.668511989,34.55448974,45.77462266,60.64330476,44.84260954
hospital,NA,0,0,7.489995997,2.436262068,3.825249192,7.122649085,13.26499007,6.441388744
hospital,Highland Park,37,37,39.68820073,6.157650512,28.98667372,39.21894782,53.06817264,38.2972706
hospital,Licton Springs,50,50,51.91545309,7.080358326,39.42073156,51.43923981,67.12745391,50.50031711
hospital,Wedgwood/View Ridge,117,117,116.5883805,10.71355199,96.99843994,116.0991935,138.9689637,115.1271746
hospital,Whittier Heights,77,77,77.75348584,8.715250351,62.0703269,77.26957061,96.19719484,76.31117112
hospital,Montlake/Portage Bay,51,51,52.86339415,7.146935078,40.23906266,52.38677048,68.20730019,51.44681527
hospital,Miller Park,72,72,72.93740666,8.434536321,57.80238887,72.45452523,90.82713443,71.4986647
hospital,First Hill,142,142,141.0408487,11.79951806,119.3255479,140.5498086,165.5575861,139.5732729
hospital,Columbia City,135,135,134.1841592,11.50534413,113.0446965,133.6935718,158.1224052,132.7181373
hospital,Roxhill/Westwood,52,52,53.81221421,7.212960456,41.05932184,53.33519362,69.28690182,52.3942357
hospital,Broadview/Bitter Lake,51,51,52.86339415,7.146935078,40.23906266,52.38677048,68.20730019,51.44681527
hospital,Ravenna/Bryant,134,134,133.2052154,11.4627283,112.1491661,132.7146964,157.0596482,131.7394274
hospital,Laurelhurst/Sand Point,57,57,58.56854831,7.535244199,45.18779837,58.08972523,74.68118906,57.14415933
hospital,Capitol Hill,128,128,127.3348247,11.20378087,106.7855877,126.8447372,150.6799279,125.8705062
hospital,Greenwood/Phinney Ridge,147,147,145.9426075,12.00540119,123.8242552,145.4512696,170.8641489,144.474003
hospital,Haller Lake,43,43,45.30718628,6.597660689,33.75133924,44.83428944,59.56179012,43.90356376
hospital,North Beach/Blue Ridge,83,83,83.54678662,9.041395441,67.22651646,83.06178198,102.6337774,82.10066665
hospital,Green Lake,100,100,100.0289375,9.910818712,82.00919002,99.54150858,120.829216,98.57417777
hospital,Ballard,95,95,95.17208471,9.662748841,77.63738562,94.68528482,115.4837191,93.71959195
hospital,Fremont,198,198,196.0932685,13.93823897,170.1898217,195.5997281,224.8131008,194.6168661
hospital,Magnolia,36,36,38.75655711,6.081634387,28.20244544,38.28800506,51.98521044,37.36812352
hospital,Madison Park,21,21,25.01655353,4.824463497,16.88948619,24.56391509,35.729677,23.68342462
hospital,North Capitol Hill,33,33,35.97118815,5.848507887,25.86879453,35.50493586,48.73532159,34.59087707
hospital,Cascade/Eastlake,157,157,155.755485,12.40730412,132.8502533,155.2636063,181.467104,154.2849984
hospital,Downtown Commercial Core,90,90,90.32250358,9.408531558,73.28476143,89.83639775,110.1332242,88.87249083
hospital,Duwamish/SODO,49,49,50.96842083,7.013216514,38.60438344,50.49263213,66.04736379,49.55477318
hospital,West Seattle Junction/Genesee Hill,61,61,62.38686117,7.784340725,48.5205024,61.90678335,78.99215095,60.95795289
hospital,North Beacon Hill/Jefferson Park,121,121,120.4936315,10.89425166,100.5501212,120.004099,143.2297844,119.0311892
hospital,Georgetown,31,31,34.12299142,5.688581241,24.33012047,33.65845993,46.56802813,32.74869331
hospital,South Park,47,47,49.07720946,6.877178538,36.97787042,48.60231578,63.88645263,47.66668487
hospital,Rainier Beach,126,126,125.3793299,11.11618354,105.0015243,124.889395,148.5521139,123.9155287
hospital,Sunset Hill/Loyal Heights,133,133,132.2264238,11.41996098,111.2540829,131.7359741,155.9967431,130.7608724
hospital,Belltown,196,196,194.122315,13.86736285,168.357697,193.6288399,222.7029191,192.6461497
hospital,Mt. Baker/North Rainier,45,45,47.19003111,6.738703234,35.36001022,46.71609888,61.72458714,45.78284065
hospital,Alki/Admiral,34,34,36.89797969,5.927089586,26.64338823,36.43092579,49.81877224,35.51484909
hospital,North Delridge,33,33,35.97118815,5.848507887,25.86879453,35.50493586,48.73532159,34.59087707
hospital,Beacon Hill,63,63,64.29997261,7.906202214,50.19595363,63.81932034,81.14614972,62.86897831
hospital,Fauntleroy/Seaview,50,50,51.91545309,7.080358326,39.42073156,51.43923981,67.12745391,50.5003171
hospital,Riverview,19,19,23.22987931,4.636277651,15.46366798,22.78057382,33.5636265,21.908241
hospital,South Beacon Hill/NewHolly,62,62,63.34310295,7.845487966,49.35749926,62.86273376,80.06927413,61.91313801
hospital,Seward Park,73,73,73.89970488,8.491367042,58.65373374,73.41660636,91.90161125,72.46021561
hospital,University District,67,67,68.13339394,8.14490885,53.5636764,67.65168468,85.45121501,66.69866238
hospital,Madrona/Leschi,107,107,106.8395047,10.24857706,88.15918855,106.351288,128.3048703,105.3818778
